Day,2018,2019,2020,2021
1,4080,3904,2299,1878
8,4225,4043,2386,1960
15,4330,4106,2384,1994
22,4320,4218,2539,1811
29,4592,4121,2503,1952
36,4191,4020,2336,1890
43,4413,4013,2301,2080
50,4006,4068,2338,1912
57,4369,4386,2572,2106
64,4230,4005,2154,2048
71,4171,4171,2099,2042
78,4316,4267,1921,2352
85,4623,4569,1991,2229
92,4465,4128,2026,2191
99,4378,4219,2131,2242
106,4477,3967,2234,2375
113,4343,4192,2490,2297
120,4690,4358,2456,2366
127,4305,4186,2293,2297
134,4532,4073,2421,2401
141,4478,4229,2476,2431
148,4770,4302,2467,2373
155,4537,4343,2316,2436
162,4439,4281,2715,2468
169,4409,4285,2605,2432
176,4450,4337,2623,2593
183,4269,4175,2512,2647
190,4586,4306,2360,2506
197,4573,4315,2549,2534
204,4386,4277,2335,2414
211,4699,4399,2420,2477
218,4383,4167,2319,2361
225,4445,4243,2350,2592
232,4219,4244,2387,2594
239,4568,4443,2398,2741
246,4197,4145,2358,2586
253,4264,4257,2256,2426
260,4430,4059,2229,2540
267,4462,4283,2301,2654
274,4316,4163,2265,2661
281,4192,4080,1882,2501
288,4382,4046,1964,2493
295,4430,3992,1824,2469
302,4633,4203,1909,2786
309,4194,4166,1734,2522
316,4285,3980,1838,2276
323,4301,4000,1863,2013
330,3340,2683,1294,938
